gene	family	Phylostratum
at1g77520	HOM000097	GreenPlants
at1g77525	HOM015594	Arabidopsis
at1g77530	HOM000097	GreenPlants
at1g77540	HOM000008	GreenPlants
at1g77550	HOM006671	LandPlants
at1g77570	HOM000129	GreenPlants
at1g77580	HOM000578	LandPlants
at1g77590	HOM000295	GreenPlants
at1g77600	HOM000589	GreenPlants
at1g77610	HOM000429	GreenPlants
at1g77620	HOM004947	GreenPlants
at1g77630	HOM001270	LandPlants
at1g77640	HOM000010	GreenPlants
at1g77650	HOM000209	Arabidopsis
at1g77655	HOM092149	AT
at1g77660	HOM000224	GreenPlants
at1g77670	HOM002252	GreenPlants
at1g77680	HOM001627	GreenPlants
at1g77682	HOM029769	Arabidopsis
at1g77690	HOM000823	LandPlants
at1g77700	HOM000107	GreenPlants
at1g77710	HOM000107	GreenPlants
at1g77720	HOM003944	GreenPlants
at1g77730	HOM000499	GreenPlants
at1g77740	HOM000224	GreenPlants
at1g77746	HOM085922	AT
at1g77750	HOM002926	GreenPlants
at1g77760	HOM000208	GreenPlants
at1g77765	HOM020821	Arabidopsis
at1g77770	HOM000632	LandPlants
at1g77780	HOM000021	GreenPlants
at1g77790	HOM000021	GreenPlants
at1g77800	HOM002711	GreenPlants
at1g77810	HOM000329	GreenPlants
at1g77815	HOM000070	LandPlants
at1g77830	HOM016226	Arabidopsis
at1g77840	HOM002468	GreenPlants
at1g77850	HOM000105	GreenPlants
at1g77855	HOM002429	Angiosperms
at1g77860	HOM000662	GreenPlants
at1g77870	HOM001008	GreenPlants
at1g77880	HOM000376	Angiosperms
at1g77885	HOM020772	Arabidopsis
at1g77890	HOM001433	GreenPlants
at1g77910	HOM069266	AT
at1g77920	HOM000263	LandPlants
at1g77930	HOM006048	LandPlants
at1g77932	HOM005138	Rosids
at1g77940	HOM001723	GreenPlants
at1g77950	HOM000039	GreenPlants
at1g77960	HOM027116	Arabidopsis
at1g77980	HOM000039	GreenPlants
at1g77990	HOM000355	GreenPlants
at1g78000	HOM000355	GreenPlants
at1g78010	HOM003707	GreenPlants
at1g78020	HOM000102	GreenPlants
at1g78030	HOM001716	GreenPlants
at1g78040	HOM001096	Angiosperms
at1g78050	HOM002545	GreenPlants
at1g78060	HOM000326	LandPlants
at1g78070	HOM000846	GreenPlants
at1g78080	HOM000010	GreenPlants
at1g78090	HOM000487	GreenPlants
at1g78100	HOM001371	LandPlants
at1g78110	HOM005054	Angiosperms
at1g78120	HOM000726	GreenPlants
at1g78130	HOM001061	GreenPlants
at1g78140	HOM002012	GreenPlants
at1g78150	HOM001687	LandPlants
at1g78160	HOM000268	GreenPlants
at1g78170	HOM002815	Angiosperms
at1g78172	HOM023851	Arabidopsis
at1g78180	HOM000087	GreenPlants
at1g78190	HOM004821	GreenPlants
at1g78200	HOM000061	GreenPlants
at1g78210	HOM000450	LandPlants
at1g78220	HOM000341	GreenPlants
at1g78230	HOM002225	GreenPlants
at1g78240	HOM000110	LandPlants
at1g78260	HOM000057	GreenPlants
at1g78270	HOM000023	GreenPlants
at1g78280	HOM002077	GreenPlants
at1g78290	HOM000044	GreenPlants
at1g78300	HOM000341	GreenPlants
at1g78310	HOM007053	Rosids
at1g78320	HOM000077	GreenPlants
at1g78340	HOM000077	GreenPlants
at1g78360	HOM000077	GreenPlants
at1g78370	HOM000077	GreenPlants
at1g78380	HOM000077	GreenPlants
at1g78390	HOM000304	GreenPlants
at1g78400	HOM000070	LandPlants
at1g78410	HOM005962	Rosids
at1g78420	HOM002525	GreenPlants
at1g78430	HOM004937	Angiosperms
at1g78440	HOM000011	GreenPlants
at1g78450	HOM001772	GreenPlants
at1g78460	HOM001772	GreenPlants
at1g78470	HOM006934	Rosids
at1g78476	HOM046586	AT
at1g78480	HOM000213	GreenPlants
at1g78490	HOM000072	GreenPlants
at1g78500	HOM000213	GreenPlants
at1g78510	HOM001394	GreenPlants
at1g78520	HOM000021	GreenPlants
at1g78530	HOM000002	GreenPlants
at1g78540	HOM001950	GreenPlants
at1g78550	HOM000011	GreenPlants
at1g78560	HOM000916	GreenPlants
at1g78570	HOM000899	GreenPlants
at1g78580	HOM000336	GreenPlants
at1g78590	HOM005721	GreenPlants
at1g78600	HOM000249	GreenPlants
at1g78610	HOM000708	GreenPlants
at1g78620	HOM004157	GreenPlants
at1g78630	HOM003894	GreenPlants
at1g78640	HOM002323	Rosids
at1g78650	HOM000115	GreenPlants
at1g78660	HOM002200	GreenPlants
at1g78670	HOM002200	GreenPlants
at1g78680	HOM002200	GreenPlants
at1g78690	HOM002108	GreenPlants
at1g78700	HOM000802	LandPlants
at1g78710	HOM000050	LandPlants
at1g78720	HOM001296	GreenPlants
at1g78730	HOM000206	Eudicots
at1g78740	HOM000206	Eudicots
at1g78750	HOM000206	Eudicots
at1g78760	HOM000206	Eudicots
at1g78770	HOM003941	GreenPlants
at1g78780	HOM002016	LandPlants
at1g78790	HOM006481	GreenPlants
at1g78800	HOM003445	GreenPlants
at1g78810	HOM003971	LandPlants
at1g78815	HOM000394	LandPlants
at1g78820	HOM001535	VascularPlants
at1g78830	HOM001535	VascularPlants
at1g78840	HOM000206	Eudicots
at1g78850	HOM001535	VascularPlants
at1g78860	HOM001535	VascularPlants
at1g78870	HOM000068	GreenPlants
at1g78880	HOM001133	LandPlants
at1g78882	HOM102043	AT
at1g78890	HOM003072	Angiosperms
at1g78895	HOM006034	LandPlants
at1g78900	HOM003485	GreenPlants
at1g78910	HOM002366	GreenPlants
at1g78915	HOM005483	GreenPlants
at1g78920	HOM000354	GreenPlants
at1g78922	HOM006159	Angiosperms
at1g78930	HOM000001	GreenPlants
at1g78940	HOM000166	GreenPlants
at1g78950	HOM000213	GreenPlants
at1g78955	HOM000213	GreenPlants
at1g78960	HOM000213	GreenPlants
at1g78970	HOM000213	GreenPlants
at1g78980	HOM000004	GreenPlants
at1g78990	HOM001639	Angiosperms
at1g78995	HOM006142	GreenPlants
at1g79000	HOM000498	GreenPlants
at1g79010	HOM003832	GreenPlants
at1g79020	HOM003207	GreenPlants
at1g79030	HOM002015	GreenPlants
at1g79040	HOM003297	GreenPlants
at1g79050	HOM000395	GreenPlants
at1g79060	HOM003479	Angiosperms
at1g79070	HOM005568	LandPlants
at1g79080	HOM000003	GreenPlants
at1g79090	HOM001745	GreenPlants
at1g79100	HOM002646	GreenPlants
at1g79110	HOM000416	LandPlants
at1g79120	HOM000264	LandPlants
at1g79130	HOM000049	LandPlants
at1g79150	HOM004660	GreenPlants
at1g79160	HOM004620	Angiosperms
at1g79170	HOM123968	AT
at1g79180	HOM000007	GreenPlants
at1g79190	HOM003988	GreenPlants
at1g79200	HOM002026	GreenPlants
at1g79210	HOM000261	GreenPlants
at1g79220	HOM007505	Eudicots
at1g79230	HOM002447	GreenPlants
at1g79250	HOM000076	GreenPlants
at1g79260	HOM006967	LandPlants
at1g79270	HOM000444	GreenPlants
at1g79280	HOM002974	GreenPlants
at1g79310	HOM001373	GreenPlants
at1g79320	HOM001373	GreenPlants
at1g79330	HOM001373	GreenPlants
at1g79340	HOM001373	GreenPlants
at1g79350	HOM001624	GreenPlants
at1g79360	HOM000940	GreenPlants
at1g79370	HOM000005	GreenPlants
at1g79380	HOM000612	GreenPlants
at1g79390	HOM000001	GreenPlants
at1g79400	HOM000133	GreenPlants
at1g79410	HOM000940	GreenPlants
at1g79420	HOM000478	GreenPlants
at1g79430	HOM000080	GreenPlants
at1g79440	HOM000143	GreenPlants
at1g79450	HOM000848	GreenPlants
at1g79460	HOM000066	LandPlants
at1g79470	HOM002344	GreenPlants
at1g79480	HOM000021	GreenPlants
at1g79490	HOM000003	GreenPlants
at1g79500	HOM005153	GreenPlants
at1g79510	HOM002133	GreenPlants
at1g79520	HOM000789	GreenPlants
at1g79530	HOM000390	GreenPlants
at1g79540	HOM000003	GreenPlants
at1g79550	HOM001140	GreenPlants
at1g79560	HOM000025	GreenPlants
at1g79570	HOM000027	GreenPlants
at1g79580	HOM000018	LandPlants
at1g79590	HOM002471	GreenPlants
at1g79600	HOM000156	GreenPlants
at1g79610	HOM000580	GreenPlants
at1g79620	HOM000017	GreenPlants
at1g79630	HOM000300	GreenPlants
at1g79640	HOM000043	GreenPlants
at1g79650	HOM001099	GreenPlants
at1g79660	HOM004705	LandPlants
at1g79670	HOM000035	LandPlants
at1g79680	HOM000035	LandPlants
at1g79690	HOM003349	GreenPlants
at1g79700	HOM000119	GreenPlants
at1g79710	HOM000288	GreenPlants
at1g79720	HOM000037	GreenPlants
at1g79730	HOM004124	GreenPlants
at1g79740	HOM000148	GreenPlants
at1g79750	HOM000507	GreenPlants
at1g79760	HOM007133	Eudicots
at1g79770	HOM000473	LandPlants
at1g79780	HOM005864	Angiosperms
at1g79790	HOM006337	GreenPlants
at1g79800	HOM000055	LandPlants
at1g79810	HOM005195	GreenPlants
at1g79820	HOM000040	GreenPlants
at1g79830	HOM001918	GreenPlants
at1g79840	HOM000230	LandPlants
at1g79850	HOM006662	GreenPlants
at1g79860	HOM000330	GreenPlants
at1g79870	HOM000592	GreenPlants
at1g79880	HOM000500	GreenPlants
at1g79890	HOM000867	GreenPlants
at1g79900	HOM000087	GreenPlants
at1g79910	HOM000293	GreenPlants
at1g79915	HOM005710	LandPlants
at1g79920	HOM000083	GreenPlants
at1g79930	HOM000083	GreenPlants
at1g79940	HOM003550	GreenPlants
at1g79950	HOM001910	GreenPlants
at1g79960	HOM005168	Angiosperms
at1g79970	HOM000102	GreenPlants
at1g79990	HOM000369	GreenPlants
at1g80000	HOM003131	LandPlants
at1g80010	HOM000045	GreenPlants
at1g80030	HOM000109	GreenPlants
at1g80040	HOM000891	GreenPlants
at1g80050	HOM001105	GreenPlants
at1g80060	HOM001978	GreenPlants
at1g80070	HOM002298	GreenPlants
at1g80080	HOM000002	GreenPlants
at1g80090	HOM002236	LandPlants
at1g80100	HOM000517	GreenPlants
at1g80110	HOM000284	Angiosperms
at1g80120	HOM000307	LandPlants
at1g80130	HOM000577	LandPlants
at1g80133	HOM021337	Arabidopsis
at1g80140	HOM000070	LandPlants
at1g80150	HOM000003	GreenPlants
at1g80160	HOM001102	GreenPlants
at1g80170	HOM000070	LandPlants
at1g80180	HOM002441	Angiosperms
at1g80190	HOM004902	GreenPlants
at1g80200	HOM002381	VascularPlants
at1g80210	HOM004146	GreenPlants
at1g80220	HOM000632	LandPlants
at1g80230	HOM003039	LandPlants
at1g80240	HOM000318	GreenPlants
at1g80245	HOM007036	Angiosperms
at1g80260	HOM005241	GreenPlants
at1g80270	HOM000199	GreenPlants
at1g80280	HOM001613	GreenPlants
at1g80290	HOM006894	VascularPlants
at1g80300	HOM002633	GreenPlants
at1g80310	HOM002751	GreenPlants
at1g80320	HOM000479	Angiosperms
at1g80330	HOM000011	GreenPlants
at1g80340	HOM000011	GreenPlants
at1g80350	HOM000025	GreenPlants
at1g80360	HOM004485	GreenPlants
at1g80370	HOM000165	GreenPlants
at1g80380	HOM004789	GreenPlants
at1g80390	HOM000131	LandPlants
at1g80400	HOM000242	GreenPlants
at1g80410	HOM002892	GreenPlants
at1g80420	HOM006516	LandPlants
at1g80440	HOM001335	LandPlants
at1g80450	HOM006099	Rosids
at1g80460	HOM002885	GreenPlants
at1g80470	HOM000206	Eudicots
at1g80480	HOM000907	GreenPlants
at1g80490	HOM000549	LandPlants
at1g80500	HOM004094	GreenPlants
at1g80510	HOM000422	GreenPlants
at1g80520	HOM002375	Angiosperms
at1g80530	HOM000161	GreenPlants
at1g80540	HOM000767	LandPlants
at1g80550	HOM000003	GreenPlants
at1g80555	HOM003543	GreenPlants
at1g80560	HOM003543	GreenPlants
at1g80570	HOM002268	GreenPlants
at1g80580	HOM000010	GreenPlants
at1g80590	HOM000028	GreenPlants
at1g80600	HOM000633	GreenPlants
at1g80610	HOM007005	Eudicots
at1g80620	HOM003181	GreenPlants
at1g80630	HOM000759	Rosids
at1g80640	HOM000004	GreenPlants
at1g80650	HOM000204	GreenPlants
at1g80660	HOM000314	GreenPlants
at1g80670	HOM000997	GreenPlants
at1g80680	HOM006204	GreenPlants
at1g80690	HOM000533	GreenPlants
at1g80700	HOM006310	Eudicots
at1g80710	HOM003323	GreenPlants
at1g80720	HOM000969	GreenPlants
at1g80730	HOM000168	LandPlants
at1g80740	HOM001181	GreenPlants
at1g80745	HOM006582	LandPlants
at1g80750	HOM001043	GreenPlants
at1g80760	HOM000085	GreenPlants
at1g80770	HOM003759	GreenPlants
at1g80780	HOM000310	GreenPlants
at1g80790	HOM000516	GreenPlants
at1g80810	HOM000589	GreenPlants
at1g80820	HOM000069	GreenPlants
at1g80830	HOM000522	GreenPlants
at1g80831	HOM046591	AT
at1g80840	HOM000028	GreenPlants
at1g80850	HOM000675	GreenPlants
at1g80860	HOM006388	LandPlants
at1g80865	HOM075512	AT
at1g80870	HOM000006	LandPlants
at1g80880	HOM000003	GreenPlants
at1g80890	HOM006472	LandPlants
at1g80900	HOM000373	GreenPlants
at1g80910	HOM004896	GreenPlants
at1g80920	HOM003079	GreenPlants
at1g80930	HOM002604	GreenPlants
at1g80940	HOM005481	LandPlants
at1g80950	HOM003114	GreenPlants
at1g80960	HOM006934	Rosids
at1g80970	HOM031741	AT
at1g80980	HOM006310	Eudicots
at1g80990	HOM031741	AT
at2g01008	HOM023043	AT
at2g01021	HOM105781	AT
at2g01023	HOM081781	AT
at2g01050	HOM000337	Rosids
at2g01060	HOM000080	GreenPlants
at2g01070	HOM001144	GreenPlants
at2g01080	HOM002935	LandPlants
at2g01090	HOM002596	GreenPlants
at2g01100	HOM020757	Arabidopsis
at2g01110	HOM003927	GreenPlants
at2g01120	HOM005323	GreenPlants
at2g01130	HOM000130	GreenPlants
at2g01140	HOM000648	GreenPlants
at2g01150	HOM000242	GreenPlants
at2g01170	HOM001073	GreenPlants
at2g01175	HOM079697	AT
at2g01180	HOM000968	GreenPlants
at2g01190	HOM000420	LandPlants
at2g01200	HOM000131	LandPlants
at2g01210	HOM000063	GreenPlants
at2g01220	HOM004351	GreenPlants
at2g01240	HOM000303	LandPlants
at2g01250	HOM001043	GreenPlants
at2g01260	HOM000665	GreenPlants
at2g01270	HOM003741	GreenPlants
at2g01275	HOM000596	GreenPlants
at2g01280	HOM002490	GreenPlants
at2g01290	HOM001123	GreenPlants
at2g01300	HOM002227	LandPlants
at2g01310	HOM000165	GreenPlants
at2g01320	HOM000033	GreenPlants
at2g01330	HOM003658	GreenPlants
at2g01340	HOM001974	Angiosperms
at2g01350	HOM004654	GreenPlants
at2g01360	HOM000003	GreenPlants
at2g01370	HOM001000	Angiosperms
at2g01390	HOM000003	GreenPlants
at2g01400	HOM022012	Arabidopsis
at2g01410	HOM005647	LandPlants
at2g01420	HOM000344	GreenPlants
at2g01430	HOM000124	LandPlants
at2g01440	HOM004547	GreenPlants
at2g01450	HOM000019	GreenPlants
at2g01460	HOM001464	GreenPlants
at2g01470	HOM001855	GreenPlants
at2g01480	HOM000088	GreenPlants
at2g01490	HOM004349	GreenPlants
at2g01500	HOM000405	Angiosperms
at2g01505	HOM024001	Arabidopsis
at2g01510	HOM000001	GreenPlants
at2g01520	HOM000432	VascularPlants
at2g01530	HOM000432	VascularPlants
at2g01540	HOM000020	GreenPlants
at2g01554	HOM002630	VascularPlants
at2g01560	HOM018408	Arabidopsis
at2g01570	HOM000042	GreenPlants
at2g01580	HOM001469	LandPlants
at2g01590	HOM007903	Eudicots
at2g01600	HOM000251	GreenPlants
at2g01610	HOM000371	LandPlants
at2g01620	HOM002245	LandPlants
at2g01630	HOM000021	GreenPlants
at2g01640	HOM006063	LandPlants
at2g01650	HOM005465	GreenPlants
at2g01660	HOM000807	VascularPlants
at2g01667	HOM048598	AT
at2g01670	HOM000622	GreenPlants
at2g01680	HOM000067	GreenPlants
at2g01690	HOM001520	GreenPlants
at2g01710	HOM000138	GreenPlants
at2g01720	HOM002811	GreenPlants
at2g01730	HOM000220	GreenPlants
at2g01735	HOM000242	GreenPlants
at2g01740	HOM000003	GreenPlants
at2g01750	HOM001162	LandPlants
at2g01755	HOM006730	LandPlants
at2g01760	HOM000176	GreenPlants
at2g01770	HOM003300	LandPlants
at2g01780	HOM000006	LandPlants
at2g01790	HOM000218	GreenPlants
at2g01800	HOM007405	Arabidopsis
at2g01810	HOM000883	GreenPlants
at2g01818	HOM000270	GreenPlants
at2g01820	HOM000004	GreenPlants
at2g01830	HOM000299	GreenPlants
at2g01850	HOM000089	LandPlants
at2g01860	HOM006402	LandPlants
at2g01870	HOM007647	Eudicots
at2g01880	HOM001230	GreenPlants
at2g01890	HOM001230	GreenPlants
at2g01900	HOM000275	GreenPlants
at2g01905	HOM006743	LandPlants
at2g01910	HOM000492	GreenPlants
at2g01913	HOM024623	Arabidopsis
at2g01918	HOM006266	Angiosperms
at2g01920	HOM000251	GreenPlants
at2g01930	HOM001122	VascularPlants
at2g01940	HOM000150	GreenPlants
at2g01950	HOM000002	GreenPlants
at2g01960	HOM012224	Arabidopsis
at2g01970	HOM000197	GreenPlants
at2g01980	HOM001497	GreenPlants
at2g01990	HOM003273	Angiosperms
at2g02000	HOM001142	LandPlants
at2g02010	HOM001142	LandPlants
at2g02020	HOM000031	GreenPlants
at2g02023	HOM077682	AT
at2g02026	HOM085945	AT
at2g02030	HOM002718	Arabidopsis
at2g02040	HOM000031	GreenPlants
at2g02050	HOM005828	GreenPlants
at2g02060	HOM000080	GreenPlants
at2g02061	HOM000493	LandPlants
at2g02070	HOM000150	GreenPlants
at2g02080	HOM000150	GreenPlants
at2g02090	HOM000101	GreenPlants
at2g02100	HOM000379	GreenPlants
at2g02103	HOM005315	Arabidopsis
at2g02120	HOM000379	GreenPlants
at2g02130	HOM000379	GreenPlants
at2g02140	HOM000379	GreenPlants
at2g02147	HOM019365	Arabidopsis
at2g02148	HOM006033	LandPlants
at2g02150	HOM000003	GreenPlants
at2g02160	HOM003022	Angiosperms
at2g02170	HOM001402	LandPlants
at2g02180	HOM001202	GreenPlants
at2g02220	HOM000002	GreenPlants
at2g02230	HOM000284	Angiosperms
at2g02240	HOM000284	Angiosperms
at2g02250	HOM000284	Angiosperms
at2g02280	HOM000284	Angiosperms
at2g02290	HOM000254	GreenPlants
at2g02300	HOM000284	Angiosperms
at2g02310	HOM000284	Angiosperms
at2g02320	HOM000284	Angiosperms
at2g02340	HOM000284	Angiosperms
at2g02350	HOM000284	Angiosperms
at2g02360	HOM000284	Angiosperms
at2g02370	HOM001802	GreenPlants
at2g02380	HOM002404	Angiosperms
at2g02390	HOM002404	Angiosperms
at2g02400	HOM000069	GreenPlants
at2g02410	HOM006380	LandPlants
at2g02440	HOM050685	AT
at2g02450	HOM000018	LandPlants
at2g02470	HOM000421	GreenPlants
at2g02480	HOM001060	LandPlants
at2g02490	HOM069255	AT
at2g02498	HOM113648	AT
at2g02500	HOM004234	GreenPlants
at2g02510	HOM005923	LandPlants
at2g02515	HOM022043	Arabidopsis
at2g02520	HOM005308	Rosids
at2g02540	HOM000216	LandPlants
at2g02550	HOM002172	GreenPlants
at2g02560	HOM003196	GreenPlants
at2g02570	HOM004298	GreenPlants
at2g02580	HOM000005	GreenPlants
at2g02590	HOM006161	LandPlants
at2g02610	HOM000182	LandPlants
at2g02620	HOM000182	LandPlants
at2g02630	HOM000182	LandPlants
at2g02640	HOM000182	LandPlants
at2g02650	HOM005677	Rosids
at2g02660	HOM000233	Rosids
at2g02680	HOM000182	LandPlants
at2g02690	HOM000182	LandPlants
at2g02700	HOM000182	LandPlants
at2g02710	HOM003162	GreenPlants
at2g02720	HOM000163	LandPlants
at2g02730	HOM001225	GreenPlants
at2g02740	HOM002265	GreenPlants
at2g02750	HOM000001	GreenPlants
at2g02760	HOM000068	GreenPlants
at2g02770	HOM000683	GreenPlants
at2g02780	HOM000017	GreenPlants
at2g02790	HOM002161	VascularPlants
at2g02795	HOM020788	Arabidopsis
at2g02800	HOM000004	GreenPlants
at2g02810	HOM003694	GreenPlants
at2g02820	HOM000007	GreenPlants
at2g02835	HOM011538	AT
at2g02840	HOM011538	AT
at2g02850	HOM000055	LandPlants
at2g02860	HOM000722	LandPlants
at2g02870	HOM000762	LandPlants
at2g02880	HOM006045	Angiosperms
at2g02890	HOM000233	Rosids
at2g02910	HOM000534	LandPlants
at2g02930	HOM000393	LandPlants
at2g02950	HOM003710	Eudicots
at2g02955	HOM004035	GreenPlants
at2g02960	HOM000596	GreenPlants
at2g02970	HOM000585	GreenPlants
at2g02980	HOM000001	GreenPlants
at2g02990	HOM000621	GreenPlants
at2g03000	HOM000079	GreenPlants
at2g03010	HOM006131	Arabidopsis
at2g03020	HOM007335	Rosids
at2g03030	HOM000008	GreenPlants
at2g03040	HOM000721	GreenPlants
at2g03050	HOM000001	GreenPlants
at2g03060	HOM000039	GreenPlants
at2g03070	HOM004448	LandPlants
at2g03090	HOM000065	GreenPlants
at2g03110	HOM000404	GreenPlants
at2g03120	HOM002397	GreenPlants
at2g03130	HOM001185	GreenPlants
at2g03140	HOM005932	LandPlants
at2g03150	HOM004208	LandPlants
at2g03160	HOM000245	GreenPlants
at2g03170	HOM000245	GreenPlants
at2g03180	HOM081769	AT
at2g03190	HOM000245	GreenPlants
at2g03200	HOM000037	GreenPlants
at2g03210	HOM000476	LandPlants
at2g03220	HOM000476	LandPlants
at2g03230	HOM028130	Arabidopsis
at2g03240	HOM000680	GreenPlants
at2g03250	HOM000680	GreenPlants
at2g03260	HOM000680	GreenPlants
at2g03270	HOM000104	GreenPlants
at2g03280	HOM000088	GreenPlants
at2g03290	HOM000721	GreenPlants
at2g03300	HOM000008	GreenPlants
at2g03310	HOM031590	Arabidopsis
at2g03320	HOM029045	Arabidopsis
at2g03330	HOM001561	Angiosperms
at2g03340	HOM000028	GreenPlants
at2g03350	HOM001553	LandPlants
at2g03360	HOM000406	LandPlants
at2g03370	HOM000406	LandPlants
at2g03380	HOM000001	GreenPlants
at2g03390	HOM005554	GreenPlants
at2g03410	HOM001074	GreenPlants
at2g03420	HOM005866	GreenPlants
at2g03430	HOM000067	GreenPlants
at2g03440	HOM007239	Rosids
at2g03450	HOM000485	GreenPlants
at2g03460	HOM000376	Angiosperms
at2g03470	HOM000958	VascularPlants
at2g03480	HOM000110	LandPlants
at2g03500	HOM000080	GreenPlants
at2g03505	HOM000021	GreenPlants
at2g03510	HOM001346	GreenPlants
at2g03520	HOM001346	GreenPlants
at2g03530	HOM001346	GreenPlants
at2g03550	HOM000074	GreenPlants
at2g03560	HOM001165	Arabidopsis
at2g03565	HOM079711	AT
at2g03570	HOM040439	AT
at2g03580	HOM001165	Arabidopsis
at2g03590	HOM001346	GreenPlants
at2g03600	HOM001346	GreenPlants
at2g03610	HOM001165	Arabidopsis
at2g03620	HOM000373	GreenPlants
at2g03630	HOM002286	LandPlants
at2g03640	HOM000591	GreenPlants
at2g03667	HOM004851	GreenPlants
at2g03670	HOM000025	GreenPlants
at2g03680	HOM000818	GreenPlants
at2g03690	HOM003905	GreenPlants
at2g03710	HOM000039	GreenPlants
at2g03720	HOM001068	VascularPlants
at2g03730	HOM000463	GreenPlants
at2g03740	HOM013259	Arabidopsis
at2g03750	HOM000207	GreenPlants
at2g03760	HOM000207	GreenPlants
at2g03770	HOM000207	GreenPlants
at2g03780	HOM006690	VascularPlants
at2g03800	HOM003312	LandPlants
at2g03810	HOM013359	LandPlants
at2g03820	HOM002311	GreenPlants
at2g03821	HOM079701	AT
at2g03822	HOM058901	AT
at2g03830	HOM021998	Arabidopsis
at2g03840	HOM000324	LandPlants
at2g03850	HOM013259	Arabidopsis
at2g03870	HOM003945	GreenPlants
at2g03880	HOM000001	GreenPlants
at2g03890	HOM000558	GreenPlants
at2g03913	HOM008536	Arabidopsis
at2g03930	HOM000151	LandPlants
at2g03931	HOM008536	Arabidopsis
at2g03932	HOM008536	Arabidopsis
at2g03933	HOM008536	Arabidopsis
at2g03936	HOM008536	Arabidopsis
at2g03937	HOM008536	Arabidopsis
at2g03938	HOM077681	AT
at2g03955	HOM008536	Arabidopsis
at2g03980	HOM000029	LandPlants
at2g04020	HOM000029	LandPlants
at2g04025	HOM026575	Arabidopsis
at2g04030	HOM000403	GreenPlants
at2g04031	HOM004357	Rosids
at2g04032	HOM000378	GreenPlants
at2g04034	HOM013599	Arabidopsis
at2g04037	HOM004357	Rosids
at2g04038	HOM000332	GreenPlants
at2g04039	HOM006139	LandPlants
at2g04040	HOM000046	GreenPlants
at2g04041	HOM004357	Rosids
at2g04045	HOM011711	Arabidopsis
at2g04046	HOM011711	Arabidopsis
at2g04050	HOM000046	GreenPlants
at2g04060	HOM000145	GreenPlants
at2g04063	HOM092155	AT
at2g04066	HOM000046	GreenPlants
at2g04070	HOM000046	GreenPlants
at2g04080	HOM000046	GreenPlants
at2g04090	HOM000046	GreenPlants
at2g04100	HOM000046	GreenPlants
at2g04115	HOM006162	Arabidopsis
at2g04160	HOM000020	GreenPlants
at2g04170	HOM000642	Angiosperms
at2g04190	HOM000642	Angiosperms
at2g04220	HOM000374	LandPlants
at2g04230	HOM000115	GreenPlants
at2g04235	HOM005596	Angiosperms
at2g04240	HOM000242	GreenPlants
at2g04270	HOM003840	GreenPlants
at2g04280	HOM002306	LandPlants
at2g04300	HOM000017	GreenPlants
at2g04305	HOM005752	LandPlants
at2g04340	HOM005766	LandPlants
at2g04350	HOM000295	GreenPlants
at2g04360	HOM006223	GreenPlants
at2g04370	HOM075519	AT
at2g04378	HOM006697	Arabidopsis
at2g04380	HOM050682	AT
at2g04390	HOM000607	GreenPlants
at2g04395	HOM004299	LandPlants
at2g04400	HOM001359	GreenPlants
at2g04410	HOM000003	GreenPlants
at2g04420	HOM000070	LandPlants
at2g04425	HOM026571	Arabidopsis
at2g04430	HOM000879	GreenPlants
at2g04440	HOM000879	GreenPlants
at2g04450	HOM000879	GreenPlants
at2g04480	HOM006652	Rosids
at2g04495	HOM016343	Arabidopsis
at2g04500	HOM000182	LandPlants
at2g04515	HOM016343	Arabidopsis
at2g04520	HOM002228	GreenPlants
at2g04530	HOM002291	GreenPlants
at2g04540	HOM000629	GreenPlants
at2g04550	HOM004946	GreenPlants
at2g04560	HOM005372	LandPlants
at2g04570	HOM000029	LandPlants
at2g04620	HOM000117	GreenPlants
at2g04622	HOM025300	Arabidopsis
at2g04630	HOM000543	GreenPlants
at2g04650	HOM002845	LandPlants
at2g04660	HOM001356	GreenPlants
at2g04675	HOM094238	AT
at2g04680	HOM000182	LandPlants
at2g04690	HOM006233	GreenPlants
at2g04700	HOM005344	GreenPlants
at2g04740	HOM006069	GreenPlants
at2g04750	HOM001268	GreenPlants
at2g04780	HOM000419	Angiosperms
at2g04790	HOM005751	GreenPlants
at2g04795	HOM006619	Rosids
at2g04800	HOM056797	AT
at2g04810	HOM001165	Arabidopsis
at2g04830	HOM001165	Arabidopsis
at2g04840	HOM001165	Arabidopsis
at2g04842	HOM001255	GreenPlants
at2g04845	HOM006360	GreenPlants
at2g04850	HOM000285	GreenPlants
at2g04860	HOM000001	GreenPlants
at2g04865	HOM000871	Angiosperms
at2g04870	HOM094231	AT
at2g04880	HOM000028	GreenPlants
at2g04890	HOM000042	GreenPlants
at2g04900	HOM004644	GreenPlants
at2g04910	HOM000021	GreenPlants
at2g04920	HOM000209	Arabidopsis
at2g04925	HOM013599	Arabidopsis
at2g04930	HOM000254	GreenPlants
at2g04940	HOM002416	GreenPlants
at2g05050	HOM000061	GreenPlants
at2g05060	HOM000043	GreenPlants
at2g05070	HOM000125	GreenPlants
at2g05100	HOM000125	GreenPlants
at2g05117	HOM011524	Arabidopsis
at2g05120	HOM006184	LandPlants
at2g05140	HOM003299	GreenPlants
at2g05160	HOM000730	LandPlants
at2g05170	HOM004078	GreenPlants
at2g05180	HOM000005	GreenPlants
at2g05185	HOM027162	AT
